facility no.,school name,total paid,count of adv pay students,count of reg students,total count of students
25120205,CENTRAL CALIFORNIA SCHOOL OF CONTINUING EDUCATION,45,0,3,3
25009230,CENTRAL CAREER INSTITUTE LLC,75,0,5,5
14928433,CENTRAL CAROLINA COMMUNITY COLLEGE,5430,0,362,362
14923440,CENTRAL CAROLINA TECHNICAL COLLEGE,4695,0,313,313
35039921,CENTRAL CATHOLIC HIGH SCHOOL,15,0,1,1
34002116,CENTRAL CHRISTIAN COLLEGE OF KANSAS,1095,0,73,73
31115925,CENTRAL CHRISTIAN COLLEGE OF THE BIBLE,90,0,6,6
25143605,CENTRAL COAST COLLEGE,60,0,4,4
31000315,CENTRAL COLLEGE,390,0,26,26
25563625,CENTRAL COLLEGE OF COSMETOLOGY,135,0,9,9
25595125,CENTRAL COLLEGE OF COSMETOLOGY,15,0,1,1
14800327,CENTRAL COMMUNITY COLLEGE-COLUMBUS,330,0,22,22
14800227,CENTRAL COMMUNITY COLLEGE-GRAND ISLAND,1575,0,105,105
14800127,CENTRAL COMMUNITY COLLEGE-HASTINGS,1170,0,78,78
13000407,CENTRAL CONNECTICUT STATE UNIVERSITY,5505,0,367,367
30068610,CENTRAL FLORIDA ELECTRICAL JATC,15,0,1,1
25477010,CENTRAL FLORIDA SCHOOL OF MASSAGE THERAPY,75,0,5,5
25013304,CENTRAL FLYING SERVICE,135,0,9,9
14933411,CENTRAL GEORGIA TECHNICAL COLLEGE-MACON,5505,0,367,367
14912411,CENTRAL GEORGIA TECHNICAL COLLEGE-WARNER ROBINS,2400,0,160,160
15582825,CENTRAL JACKSON COUNTY FIRE PROTECTION DISTRICT,15,0,1,1
14925423,CENTRAL LAKES COLLEGE-BRAINERD,1980,0,132,132
14810318,CENTRAL LOUISIANA TECHNICAL COMMUNITY COLLEGE ALEXANDRIA,570,0,38,38
14811918,CENTRAL LOUISIANA TECHNICAL COMMUNITY COLLEGE FERRIDAY,60,0,4,4
14810818,CENTRAL LOUISIANA TECHNICAL COMMUNITY COLLEGE NATCH,165,0,11,11
21063562,CENTRAL LUZON COLL OF SCIENCE & TECHNOLOGY,15,0,1,1
14904419,CENTRAL MAINE COMMUNITY COLLEGE,1680,0,112,112
25006220,CENTRAL MARYLAND SCHOOL OF MASSAGE,90,0,6,6
31962125,CENTRAL METHODIST UNIVERSITY,1065,0,71,71
31820125,CENTRAL METHODIST UNIVERSITY AT MINERAL AREA COLLEGE,300,0,20,20
11805122,CENTRAL MICHIGAN UNIVERSITY,5295,0,353,353
11926105,CENTRAL MICHIGAN UNIVERSITY,315,0,21,21
11004920,CENTRAL MICHIGAN UNIVERSITY ANDREWS AFB,795,0,53,53
11004835,CENTRAL MICHIGAN UNIVERSITY EXTENDED DEGREE PROGRAM-WPAFB,120,0,8,8
11026218,CENTRAL MICHIGAN UNIVERSITY FORT POLK,90,0,6,6
11805322,CENTRAL MICHIGAN UNIVERSITY GLOBAL CAMPUS-TROY,420,0,28,28
31010130,CENTRAL MICHIGAN UNIVERSITY JOINT BASE MCGUIRE-DIX-LAKEHURST,135,0,9,9
11812511,CENTRAL MICHIGAN UNIVERSITY-ATLANTA,120,0,8,8
11805422,CENTRAL MICHIGAN UNIVERSITY-COLLEGE OF MEDICINE,30,0,2,2
11851346,CENTRAL MICHIGAN UNIVERSITY-FORT BELVOIR,1065,0,71,71
11005616,CENTRAL MICHIGAN UNIVERSITY-FORT LEAVENWORTH,210,0,14,14
11007646,CENTRAL MICHIGAN UNIVERSITY-FORT LEE,300,0,20,20
11005016,CENTRAL MICHIGAN UNIVERSITY-FORT RILEY,75,0,5,5
11381132,CENTRAL MICHIGAN UNIVERSITY-FT HAMILTON,300,0,20,20
11007846,CENTRAL MICHIGAN UNIVERSITY-JOINT BASE MYER,600,0,40,40
11805222,CENTRAL MICHIGAN UNIVERSITY-OFF CAMPUS PROGRAM,5625,0,375,375
11851446,CENTRAL MICHIGAN UNIVERSITY-PENTAGON,45,0,3,3
11801364,CENTRAL MICHIGAN UNIVERSITY-SCHOFIELD,690,0,46,46
11007433,CENTRAL MICHIGAN UNIVERSITY-SEYMOUR JOHNSON AFB,135,0,9,9
14903431,CENTRAL NEW MEXICO COMMUNITY COLLEGE,15540,0,1036,1036
15628032,CENTRAL NEW YORK REGIONAL LAW ENFORCEMENT ACADEMY,45,0,3,3
15004014,CENTRAL NINE CAREER CENTER,15,0,1,1
149E2435,CENTRAL OHIO TECHNICAL COLLEGE,1605,0,107,107
28003736,CENTRAL OKLAHOMA COLLEGE,480,0,32,32
14911437,CENTRAL OREGON COMMUNITY COLLEGE,7650,0,510,510
219B0138,CENTRAL PENN COLLEGE,1620,0,108,108
28306138,CENTRAL PENNSYLVANIA DIESEL INSTITUTE,105,0,7,7
14027338,CENTRAL PENNSYLVANIA INSTITUTE OF SCIENCE AND TECHNOLOGY,150,0,10,10
31012062,CENTRAL PHILIPPINE UNIVERSITY,105,0,7,7
14912433,CENTRAL PIEDMONT COMMUNITY COLLEGE,11640,0,776,776
11101670,CENTRAL QUEENSLAND UNIVERSITY,30,0,2,2
35549135,CENTRAL SCHOOL OF PRACTICAL NURSING,15,0,1,1
11007135,CENTRAL STATE UNIVERSITY,435,0,29,29
18092238,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT LPN CAREER,45,0,3,3
18014936,CENTRAL TECHNOLOGY CENTER,315,0,21,21
18038236,CENTRAL TECHNOLOGY CENTER-SAPULPA,75,0,5,5
25149743,CENTRAL TEXAS AC AND REFRIGERATION SCHOOL,60,0,4,4
25142643,CENTRAL TEXAS BARBER COLLEGE,585,0,39,39
25062843,CENTRAL TEXAS BEAUTY COLLEGE-ROUND ROCK,120,0,8,8
25063143,CENTRAL TEXAS BEAUTY COLLEGE-TEMPLE,255,0,17,17
14931447,CENTRAL TEXAS COLLEGE,795,0,53,53
14830205,CENTRAL TEXAS COLLEGE,435,0,29,29
14131005,CENTRAL TEXAS COLLEGE,315,0,21,21
14004817,CENTRAL TEXAS COLLEGE,270,0,18,18
14825102,CENTRAL TEXAS COLLEGE,270,0,18,18
11004336,CENTRAL TEXAS COLLEGE,255,0,17,17
14825302,CENTRAL TEXAS COLLEGE,15,0,1,1
149J1143,CENTRAL TEXAS COLLEGE EUROPE,600,0,40,40
11026318,CENTRAL TEXAS COLLEGE FORT POLK,825,0,55,55
14112725,CENTRAL TEXAS COLLEGE FT LEONARD WOOD,810,0,54,54
14806143,CENTRAL TEXAS COLLEGE MAIN CAMPUS,74655,0,4977,4977
14830364,CENTRAL TEXAS COLLEGE SCHOFIELD BARRACKS,630,0,42,42
14006546,CENTRAL TEXAS COLLEGE-FORT LEE,735,0,49,49
11004716,CENTRAL TEXAS COLLEGE-FORT RILEY,510,0,34,34
14943001,CENTRAL TEXAS COLLEGE-FORT RUCKER,165,0,11,11
14004111,CENTRAL TEXAS COLLEGE-FT BENNING,1035,0,69,69
14831011,CENTRAL TEXAS COLLEGE-FT STEWART,1740,0,116,116
14007320,CENTRAL TEXAS COLLEGE-NNMC,315,0,21,21
14000109,CENTRAL TEXAS COLLEGE-WASHINGTON DC,105,0,7,7
25125243,CENTRAL TEXAS SCHOOL OF TAXIDERMY,150,0,10,10
14906146,CENTRAL VIRGINIA COMMUNITY COLLEGE,1905,0,127,127
15036846,CENTRAL VIRGINIA CRIMINAL JUSTICE ACADEMY,30,0,2,2
11057047,CENTRAL WASHINGTON UNIVERSITY,10335,0,689,689
14901450,CENTRAL WYOMING COLLEGE,555,0,37,37
31000132,CENTRAL YESHIVA TOMCHEI TMIMIM LUBAVITZ,15,0,1,1
25435347,CENTRALIA BEAUTY COLLEGE,15,0,1,1
14902447,CENTRALIA COLLEGE,2010,0,134,134
15028213,CENTRALIA HIGH SCHOOL,15,0,1,1
31000317,CENTRE COLLEGE,165,0,11,11
25807216,CENTRIQ TRAINING CENTER,2010,0,134,134
21975162,CENTRO ESCOLAR UNIVERSITY - MANILA,90,0,6,6
21013562,CENTRO ESCOLAR UNIVERSITY AT MALOLOS,30,0,2,2
21170662,CENTRO ESCOLAR UNIVERSITY MAKATI,45,0,3,3
24800446,CENTURA COLLEGE-CHESAPEAKE,840,0,56,56
24041140,CENTURA COLLEGE-COLUMBIA,810,0,54,54
24800346,CENTURA COLLEGE-NEWPORT NEWS,840,0,56,56
24800246,CENTURA COLLEGE-NORFOLK,690,0,46,46
24830046,CENTURA COLLEGE-RICHMOND MAIN,180,0,12,12
24800046,CENTURA COLLEGE-VIRGINIA BEACH,735,0,49,49
14935423,CENTURY COLLEGE,5160,0,344,344
28067230,CENTURY FLIGHT ACADEMY,15,0,1,1
14968405,CERRITOS COLLEGE,5400,0,360,360
14988405,CERRO COSO COMMUNITY COLLEGE,1650,0,110,110
35007105,CES COLLEGE,15,0,1,1
25149305,CET-SACRAMENTO,15,0,1,1
35005105,CET-SAN DIEGO,15,0,1,1
31200186,CETYS UNIVERSIDAD BAJA CALIF,90,0,6,6
31111278,CEVRO INSTITUTE,15,0,1,1
31200578,CG JUNG INSTITUTE,15,0,1,1
14919105,CHABOT COLLEGE,3585,0,239,239
13900127,CHADRON STATE COLLEGE,885,0,59,59
14956405,CHAFFEY COLLEGE,5055,0,337,337
21120405,CHAMBERLAIN COLLEGE OF NURSING,15,0,1,1
21003903,CHAMBERLAIN COLLEGE OF NURSING-ARIZONA,1500,0,100,100
21014046,CHAMBERLAIN UNIVERSITY,1140,0,76,76
21005311,CHAMBERLAIN UNIVERSITY,870,0,58,58
21905828,CHAMBERLAIN UNIVERSITY,705,0,47,47
21517035,CHAMBERLAIN UNIVERSITY,660,0,44,44
22988525,CHAMBERLAIN UNIVERSITY,645,0,43,43
21906233,CHAMBERLAIN UNIVERSITY,285,0,19,19
21152022,CHAMBERLAIN UNIVERSITY,165,0,11,11
21120705,CHAMBERLAIN UNIVERSITY COLLEGE OF NURSING,135,0,9,9
21974435,CHAMBERLAIN UNIVERSITY COLLEGE OF NURSING-CLEVELAND,270,0,18,18
21047243,CHAMBERLAIN UNIVERSITY IRVING,360,0,24,24
22823113,CHAMBERLAIN UNIVERSITY LLC,12900,0,860,860
21986113,CHAMBERLAIN UNIVERSITY LLC,540,0,36,36
21001314,CHAMBERLAIN UNIVERSITY LLC,315,0,21,21
21017430,CHAMBERLAIN UNIVERSITY LLC,240,0,16,16
21987113,CHAMBERLAIN UNIVERSITY LLC-TINLEY PARK,285,0,19,19
21001718,CHAMBERLAIN UNIVERSITY NEW ORLEANS,45,0,3,3
21042343,CHAMBERLAIN UNIVERSITY-HOUSTON,330,0,22,22
21062910,CHAMBERLAIN UNIVERSITY-JACKSONVILLE,2565,0,171,171
21064210,CHAMBERLAIN UNIVERSITY-MIRAMAR,330,0,22,22
21046343,CHAMBERLAIN UNIVERSITY-PEARLAND,570,0,38,38
25800138,CHAMBERSBURG BEAUTY SCHOOL,15,0,1,1
31711164,CHAMINADE UNIVERSITY OF HONOLULU,6165,0,411,411
30324413,CHAMPAIGN-URBANA JATC LOCAL 601,15,0,1,1
31058204,CHAMPION CHRISTIAN COLLEGE,120,0,8,8
25121143,CHAMPIONS SCH OF REAL ESTATE AUSTIN ROUND ROCK,30,0,2,2
31900145,CHAMPLAIN COLLEGE,5160,0,344,344
18514132,CHAMPLAIN VALLEY ED SERVICES CV-TEC,195,0,13,13
25005003,CHANDLER AIR SERVICE INC,60,0,4,4
14920403,CHANDLER-GILBERT COMMUNITY COLLEGE,7440,1,495,496
25163005,CHANNEL ISLANDS AVIATION,15,0,1,1
38143910,CHAPMAN SCHOOL OF SEAMANSHIP INC,375,0,25,25
31980105,CHAPMAN UNIVERSITY - ORANGE,1695,0,113,113
31032006,CHARIS BIBLE COLLEGE,765,0,51,51
25130343,CHARLES & SUES SCHOOL OF HAIR DESIGN,30,0,2,2
15014705,CHARLES A JONES CAREER AND EDUCATION CENTER,105,0,7,7
11102170,CHARLES DARWIN UNIVERSITY,15,0,1,1
25022103,CHARLES OF ITALY BEAUTY COLLEGE-LHC,30,0,2,2
32905105,CHARLES R DREW UNIV OF MEDICINE AND SCIENCE,255,0,17,17
25361932,CHARLES STUART SCHOOL,615,0,41,41
11100070,CHARLES STURT UNIVERSITY,45,0,3,3
11001578,CHARLES UNIVERSITY IN PRAGUE,60,0,4,4
28078340,CHARLESTON COSMETOLOGY INSTITUTE,180,0,12,12
28014248,CHARLESTON SCHOOL OF BEAUTY CULTURE,60,0,4,4
21000140,CHARLESTON SCHOOL OF LAW,555,0,37,37
31005740,CHARLESTON SOUTHERN UNIVERSITY,6690,1,445,446
25013040,CHARLESTON WOODWORKING SCHOOL,30,0,2,2
25110340,CHARLESTON WOODWORKING SCHOOL  CH 31,60,0,4,4
34903533,CHARLOTTE CHRISTIAN COLLEGE,30,0,2,2
18149110,CHARLOTTE TECHNICAL COLLLEGE,195,0,13,13
25004833,CHARLOTTE TRUCK DRIVER TRAINING SCHOOL,435,0,29,29
15006246,CHARLOTTESVILLE ALBERMARLE TECH EDUC CTR,15,0,1,1
24483247,CHARTER COLLEGE - WENATCHEE,15,0,1,1
21902102,CHARTER COLLEGE-ANCHORAGE,2550,0,170,170
24471347,CHARTER COLLEGE-FIFE,360,0,24,24
24483447,CHARTER COLLEGE-LACEY,90,0,6,6
21115205,CHARTER COLLEGE-OXNARD,1020,0,68,68
21454847,CHARTER COLLEGE-PASCO,225,0,15,15
21451747,CHARTER COLLEGE-VANCOUVER,1920,0,128,128
11200007,CHARTER OAK STATE COLLEGE,1050,0,70,70
31003138,CHATHAM UNIVERSITY,930,0,62,62
25034411,CHATTAHOOCHEE SCUBA,1275,0,85,85
14950411,CHATTAHOOCHEE TECHNICAL COLLEGE,8490,0,566,566
14909001,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,5955,0,397,397
24917442,CHATTANOOGA COLLEGE MEDICAL DENTAL AND TECHNICAL CAREERS,270,0,18,18
14903142,CHATTANOOGA STATE COMMUNITY COLLEGE,5835,0,389,389
15014242,CHATTANOOGA TENNESSEE FIRE ACADEMY,15,0,1,1
25295847,CHECK RIDE DRIVER TRAINING SERVICES,75,0,5,5
25001250,CHEEKS BEAUTY ACADEMY-CHEYENNE,60,0,4,4
25029306,CHEEKS INTERNATIONAL ACADEMY OF BEAUTY CULTURE-FORT COLLINS,30,0,2,2
14916437,CHEMEKETA COMMUNITY COLLEGE,5670,0,378,378
15025246,CHESAPEAKE CENTER FOR SCIENCE & TECH,45,0,3,3
14908420,CHESAPEAKE COLLEGE,1080,0,72,72
25033046,CHESAPEAKE MARINE TRAINING INSTITUTE,30,0,2,2
15034346,CHESAPEAKE POLICE ACADEMY,15,0,1,1
24851046,CHESTER CAREER COLLEGE,180,0,12,12
15034246,CHESTERFIELD COUNTY POLICE TNG ACADEMY,30,0,2,2
15037146,CHESTERFIELD CTY SHERIFF'S OFF BASIC TRG ACADEMY,30,0,2,2
319A4138,CHESTNUT HILL COLLEGE,720,0,48,48
11942138,CHEYNEY UNIVERSITY OF PENNSYLVANIA,120,0,8,8
32000327,CHI HEALTH SCHOOL OF RADIOLOGIC TECHNOLOGY,30,0,2,2
25067413,CHICAGO PROFESSIONAL CENTER,45,0,3,3
31020409,CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,390,0,26,26
25812213,CHICAGO SCHOOL OF VIOLIN MAKING,15,0,1,1
13957113,CHICAGO STATE UNIVERSITY,1350,0,90,90
31911413,CHICAGO THEOLOGICAL SEMINARY,75,0,5,5
14000126,CHIEF DULL KNIFE COLLEGE,45,0,3,3
35011914,CHIMNEY SAFETY INSTITUTE OF AMERICA,90,0,6,6
11120569,CHINESE UNIV OF HONG KONG,15,0,1,1
11980110,CHIPOLA COLLEGE,1170,0,78,78
14912149,CHIPPEWA VALLEY TECHNICAL COLLEGE,3915,0,261,261
25001836,CHOCOLATES TAXIDERMY,15,0,1,1
15528435,CHOFFIN CAREER AND TECHNICAL CENTER,90,0,6,6
25002250,CHOICE AVIATION,30,0,2,2
25008426,CHOICE AVIATION,15,0,1,1
25079613,CHOICE CAREER COLLEGE,405,0,27,27
31012133,CHOWAN UNIVERSITY,1155,0,77,77
28001624,CHRIS BEAUTY COLLEGE,300,0,20,20
31047643,CHRIST FOR THE NATIONS INSTITUTE,375,0,25,25
35000943,CHRIST MISSION COLLEGE,30,0,2,2
31008446,CHRISTENDOM COLLEGE,195,0,13,13
31005242,CHRISTIAN BROTHERS UNIVERSITY,615,0,41,41
35609925,CHRISTIAN HOSPITAL EMS ACADEMY,75,0,5,5
31004914,CHRISTIAN THEOLOGICAL SEMINARY,75,0,5,5
32900108,CHRISTIANA CARE HEALTH SYSTEM-NEWARK,15,0,1,1
28404632,CHRISTINE VALMY INTERNATIONAL SCHOOL FOR ESTHETICS SKIN CARE & MAKEUP,90,0,6,6
11813346,CHRISTOPHER NEWPORT UNIVERSITY,4650,0,310,310
15905805,CHULA VISTA ADULT SCHOOL,8055,0,537,537
11800169,CHULALONGKORN UNIVERSITY,15,0,1,1
11800769,CHULALONGKORN-FACULTY OF EDUCATION,15,0,1,1
31120005,CHURCH DIVINITY SCHOOL OF THE PACIFIC,30,0,2,2
32528235,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,15,0,1,1
31007235,CINCINNATI CHRISTIAN UNIVERSITY,225,0,15,15
31518335,CINCINNATI COLLEGE OF MORTUARY SCIENCE,60,0,4,4
25525435,CINCINNATI SCHOOL OF BARBERING AND HAIR DESIGN,120,0,8,8
25558735,CINCINNATI SCHOOL OF MEDICAL MASSAGE,120,0,8,8
14952435,CINCINNATI STATE TECHNICAL AND COMMUNITY COLLEGE,5595,0,373,373
25448910,CINDY CASSADY SCHOOL OF ELECTROLOGY,15,0,1,1
25152205,CINEMA MAKE-UP SCHOOL,270,0,18,18
25167305,CINTA AVEDA INSTITUTE,480,0,32,32
25260310,CIRRUS AVIATION INC,15,0,1,1
14937443,CISCO COLLEGE,3150,0,210,210
21152462,CIT COLLEGES OF PANIQUI FOUNDATION INC,15,0,1,1
11001240,CITADEL MILITARY COLLEGE OF SOUTH CAROLINA,8505,0,567,567
15610625,CITIZEN MEMORIAL HOSPITAL EMS,15,0,1,1
32960538,CITIZENS SCHOOL OF NURSING,90,0,6,6
14902405,CITRUS COLLEGE,4680,0,312,312
14907105,CITY COLLEGE OF SAN FRANCISCO,21600,0,1440,1440
34200210,CITY COLLEGE-ALTAMONTE SPRINGS,270,0,18,18
31834010,CITY COLLEGE-FORT LAUDERDALE,450,0,30,30
31834110,CITY COLLEGE-GAINESVILLE,465,0,31,31
31834310,CITY COLLEGE-HOLLYWOOD,240,0,16,16
31834210,CITY COLLEGE-MIAMI,255,0,17,17
14915413,CITY COLLEGES OF CHICAGO-HAROLD WASHINGTON COLLEGE,3450,0,230,230
14917413,CITY COLLEGES OF CHICAGO-HARRY S TRUMAN COLLEGE,1080,0,72,72
14912413,CITY COLLEGES OF CHICAGO-KENNEDY-KING COLLEGE,1905,0,127,127
14910413,CITY COLLEGES OF CHICAGO-MALCOLM X COLLEGE,1620,0,108,108
14918413,CITY COLLEGES OF CHICAGO-OLIVE HARVEY COLLEGE,750,0,50,50
14916413,CITY COLLEGES OF CHICAGO-RICHARD J DALEY COLLEGE,990,0,66,66
14913413,CITY COLLEGES OF CHICAGO-WILBUR WRIGHT COLLEGE,2160,0,144,144
15068643,CITY OF FORT WORTH POLICE ACAD,45,0,3,3
25605625,CITY POINTE BEAUTY ACADEMY,15,0,1,1
11108874,CITY UNIVERSITY OF LONDON,60,0,4,4
31806047,CITY UNIVERSITY OF SEATTLE,4545,0,303,303
31125425,CITY VISION COLLEGE,60,0,4,4
25301705,CIVIC HELICOPTERS INC,30,0,2,2
14909437,CLACKAMAS COMMUNITY COLLEGE,4680,0,312,312
31001840,CLAFLIN UNIVERSITY,1800,0,120,120
31503805,CLAREMONT GRADUATE UNIVERSITY,375,0,25,25
31015505,CLAREMONT LINCOLN UNIVERSITY,45,0,3,3
31506405,CLAREMONT MCKENNA COLLEGE,105,0,7,7
31502205,CLAREMONT SCHOOL OF THEOLOGY,210,0,14,14
28027336,CLAREMORE BEAUTY COLLEGE,15,0,1,1
14996443,CLARENDON COLLEGE,195,0,13,13
11009338,CLARION UNIVERSITY OF PENNSYLVANIA,2235,0,149,149
31002311,CLARK ATLANTA UNIVERSITY,3315,0,221,221
14903447,CLARK COLLEGE,8790,1,585,586
149A0435,CLARK STATE COMMUNITY COLLEGE,3255,0,217,217
31902121,CLARK UNIVERSITY,270,0,18,18
31000415,CLARKE UNIVERSITY,270,0,18,18
31920138,CLARKS SUMMIT UNIVERSITY,405,0,27,27
28022948,CLARKSBURG BEAUTY ACADEMY AND SCHOOL OF MASSAGE THERAPY,15,0,1,1
31002227,CLARKSON COLLEGE,675,0,45,45
31330132,CLARKSON UNIVERSITY,1140,0,76,76
31383432,CLARKSON UNIVERSITY - CAPITAL REGION CAMPUS,390,0,26,26
35954036,CLARY SAGE COLLEGE,135,0,9,9
25035106,CLASSY PET GROOMING SCHOOL,30,0,2,2
14902437,CLATSOP COMMUNITY COLLEGE,705,0,47,47
11916111,CLAYTON STATE UNIVERSITY,6720,0,448,448
15000111,CLAYTON STATE UNIVERSITY-CONTINUING EDUCATION,90,0,6,6
25133243,CLC INC,30,0,2,2
31510117,CLEAR CREEK BAPTIST BIBLE COLLEGE,45,0,3,3
18084038,CLEARFIELD COUNTY CAREER AND TECHNOLOGY CENTER,75,0,5,5
25256510,CLEARWATER AVIATION ACADEMY,90,0,6,6
31823322,CLEARY UNIVERSITY,330,0,22,22
25610125,CLEMENT TRUCKING ACADEMY LLC,30,0,2,2
11802140,CLEMSON UNIVERSITY,11595,0,773,773
15004024,CLEVELAND CENTRAL HIGH SCHOOL,15,0,1,1
32528035,CLEVELAND CLINIC FOUNDATION,15,0,1,1
14937433,CLEVELAND COMMUNITY COLLEGE,1050,0,70,70
15554335,CLEVELAND HEIGHTS POLICE ACADEMY,180,0,12,12
25543635,CLEVELAND INDUSTRIAL TRAINING CENTER,45,0,3,3
31002935,CLEVELAND INSTITUTE OF ART,195,0,13,13
25805935,CLEVELAND INSTITUTE OF MEDICAL MASSAGE,90,0,6,6
15552135,CLEVELAND POLICE ACADEMY,75,0,5,5
14912142,CLEVELAND STATE COMMUNITY COLLEGE,1425,0,95,95
11947135,CLEVELAND STATE UNIVERSITY,7155,0,477,477
31006616,CLEVELAND UNIVERSITY-KANSAS CITY,270,0,18,18
34910440,CLINTON COLLEGE,150,0,10,10
149B2432,CLINTON COMMUNITY COLLEGE,480,0,32,32
14914415,CLINTON COMMUNITY COLLEGE,315,0,21,21
14933116,CLOUD COUNTY COMMUNITY COLLEGE,390,0,26,26
14934116,CLOUD COUNTY COMMUNITY COLLEGE-GEARY CAMPUS,1455,0,97,97
14957447,CLOVER PARK TECHNICAL COLLEGE,10935,1,728,729
15100705,CLOVIS ADULT EDUCATION,15,0,1,1
14131505,CLOVIS COMMUNITY COLLEGE,2055,0,137,137
14929431,CLOVIS COMMUNITY COLLEGE,1515,0,101,101
28800618,CLOYD'S BARBER SCHOOL 2 INC,60,0,4,4
28800518,CLOYD'S BEAUTY SCHOOL 1 INC,45,0,3,3
28800718,CLOYD'S BEAUTY SCHOOL 3 INC,30,0,2,2
25395532,CNC TECHNICAL SOLUTIONS INC,15,0,1,1
24944405,CNI COLLEGE,330,0,22,22
25104724,CNK BARBER COLLEGE,75,0,5,5
14902424,COAHOMA COMMUNITY COLLEGE,555,0,37,37
25105724,COAST DEALING ACADEMY,105,0,7,7
25166505,COAST FLIGHT TRAINING AND MANAGEMENT INC,255,0,17,17
25209622,COAST TO COAST TRUCK DRIVING SCHOOL INC,60,0,4,4
14002401,COASTAL ALABAMA COMMUNITY COLLEGE - BREWTON CAMPUS,255,0,17,17
14914401,COASTAL ALABAMA COMMUNITY COLLEGE-ALABAMA AVIATION CENTER MOBILE-BOOKL,300,0,20,20
14801801,COASTAL ALABAMA COMMUNITY COLLEGE-ATMORE,105,0,7,7
14001501,COASTAL ALABAMA COMMUNITY COLLEGE-BAY MINETTE,2520,0,168,168
14800101,COASTAL ALABAMA COMMUNITY COLLEGE-FAIRHOPE CAMPUS,450,0,30,30
14004001,COASTAL ALABAMA COMMUNITY COLLEGE-GILBERTTOWN CAMPUS,60,0,4,4
14800001,COASTAL ALABAMA COMMUNITY COLLEGE-GULF SHORES CAMPUS,360,0,24,24
14001901,COASTAL ALABAMA COMMUNITY COLLEGE-MONROEVILLE CAMPUS,330,0,22,22
14921401,COASTAL ALABAMA COMMUNITY COLLEGE-THOMASVILLE,330,0,22,22
14940443,COASTAL BEND COLLEGE,1545,0,103,103
14933433,COASTAL CAROLINA COMMUNITY COLLEGE,22215,0,1481,1481
11801540,COASTAL CAROLINA UNIVERSITY,9525,1,634,635
25807518,COASTAL COLLEGE ALEXANDRIA,225,0,15,15
25807218,COASTAL COLLEGE BATON ROUGE,60,0,4,4
25058718,COASTAL COLLEGE HAMMOND,345,0,23,23
25807118,COASTAL COLLEGE LAFAYETTE,210,0,14,14
25807418,COASTAL COLLEGE MONROE,45,0,3,3
25066218,COASTAL COLLEGE NEW ORLEANS,60,0,4,4
14934411,COASTAL PINES TECHNICAL COLLEGE,1440,0,96,96
25183040,COASTAL SCUBA,15,0,1,1
25055918,COASTAL TRUCK DRIVING SCHOOL CALHOUN CH 31,15,0,1,1
25064918,COASTAL TRUCK DRIVING SCHOOL HARVEY CH31,30,0,2,2
14949405,COASTLINE COMMUNITY COLLEGE,2250,0,150,150
14130605,COASTLINE COMMUNITY COLLEGE MILITARY PROGRAMS,2985,0,199,199
25137943,COBRA KAI FLIGHT ACADEMY,15,0,1,1
14902403,COCHISE COMMUNITY COLLEGE,7065,0,471,471
32388732,COCHRAN SCHOOL OF NURSING,30,0,2,2
14921403,COCONINO COMMUNITY COLLEGE,1965,0,131,131
25474647,CODE FELLOWS,1695,0,113,113
25380632,CODE ONE INC,165,0,11,11
35063813,CODE PLATOON,90,0,6,6
25004312,CODE WORKS LLC,120,0,8,8
25143343,CODEUP LLC,855,0,57,57
25472347,CODING DOJO,735,0,49,49
31000515,COE COLLEGE,255,0,17,17
14901416,COFFEYVILLE COMMUNITY COLLEGE,390,0,26,26
21117805,COGSWELL POLYTECHNICAL COLLEGE,360,0,24,24
31804040,COKER COLLEGE,975,0,65,65
31012019,COLBY COLLEGE,165,0,11,11
14001616,COLBY COMMUNITY COLLEGE,435,0,29,29
31009029,COLBY-SAWYER COLLEGE,210,0,14,14
11200274,COLCHESTER INSTITUTE,15,0,1,1
24904963,COLEGIO DE CINEMATOGRAFIA ARTES Y TELEVISION,300,0,20,20
31014862,COLEGIO DE SAN JUAN DE LETRAN - CALAMBA,15,0,1,1
35002963,COLEGIO EDUCATIVO TECNOLOGICO INDUSTRIAL INC,30,0,2,2
25022763,COLEGIO MAYOR DE TECNOLOGIA INC,120,0,8,8
14001063,COLEGIO UNIVERSITARIO DE SAN JUAN,540,0,36,36
31901105,COLEMAN UNIVERSITY,1545,0,103,103
31357232,COLGATE ROCHESTER CROZER DIVINITY SCHOOL,60,0,4,4
31310332,COLGATE UNIVERSITY,270,0,18,18
25190605,COLLEEN O'HARA'S BEAUTY ACADEMY,30,0,2,2
31823306,COLLEGE AMERICA-COLORADO SPRINGS,1515,0,101,101
31823106,COLLEGE AMERICA-DENVER,180,0,12,12
31804003,COLLEGE AMERICA-FLAGSTAFF,75,0,5,5
31823206,COLLEGE AMERICA-FORT COLLINS,225,0,15,15
31804103,COLLEGE AMERICA-PHOENIX,435,0,29,29
31925122,COLLEGE FOR CREATIVE STUDIES,645,0,43,43
21012906,COLLEGE FOR FINANCIAL PLANNING,1125,0,75,75
